Agency Name,County Served,State,active,Type,ADDRESS,CITY,ZIP,System No
CEMEX CALIF CEMENT LLC AV,SAN BERNARDINO,CA,1,TC,25220 BLACK MOUNTAIN QUARRY RD,APPLE VALLEY,92307,3601130
PURPLE ORCHID RESORT SPA,ALAMEDA,CA,1,NC,4549 Cross Rd,Livermore,94550,105018
CAPLES LAKE RESORT,ALPINE,CA,1,NC,PO BOX 8,KIRKWOOD,95646,202506
SORENSON S RESORT,ALPINE,CA,1,NC,14255 HWY 88,HOPE VALLEY,96120,202512
CARSON RIVER RESORT,ALPINE,CA,1,NC,12399 HIGHWAY 89,MARKLEEVILLE,96120,202515
HOPE VALLEY RESORT,ALPINE,CA,1,NC,114655 HWY 88,HOPE VALLEY,96120,202520
BEAR RIVER LAKE RESORT,AMADOR,CA,1,NC,40800 Highway 88,Pioneer,95666,300036
PLASSE'S RESORT,AMADOR,CA,1,NC,30001 Plasse Rd,Pioneer,95666,300080
ANGELS CAMP RV/CAMPING RESORT,CALAVERAS,CA,1,NC,3069 HWY 49,ANGELS CAMP,95222,500082
ORWOOD RESORT,CONTRA COSTA,CA,1,C,4451 ORWOOD RD,BRENTWOOD,94513,707545
WILDWOOD ACRES RESORT,CONTRA COSTA,CA,1,NC,1055 HUNSAKER CYN RD,LAFAYETTE,94549,707617
ICE HOUSE RESORT (HEALTH),EL DORADO,CA,1,NC,9000 ICE HOUSE RD,POLLOCK PINES,95726,900314
RIVERS BEND RESORT,EL DORADO,CA,1,NC,6400 HWY 49,LOTUS,95651,900417
ANGORA LAKES RESORT,EL DORADO,CA,1,NC,ANGORA LAKES Rd,SOUTH LAKE TAHOE,96150,900515
AMERICAN LEGION TRACT RESORT ASSOC,EL DORADO,CA,1,NC,3030 LAKE TAHOE BLVD,SOUTH LAKE TAHOE,96150,900629
CHINA PEAK MOUNTAIN RESORT,FRESNO,CA,1,NC,59265 HIGHWAY 168,LAKESHORE,93634,1000171
COVE ISLAND RESORT,FRESNO,CA,1,NC,32301 TRIMMER SPRINGS RD,SANGER,93657,1000249
LAKEVIEW RESORT,FRESNO,CA,1,NC,32451 TRIMMER SPRINGS RD,SANGER,93657,1000318
VERMILION VALLEY RESORT,FRESNO,CA,1,NC,"EDISON LAKE RD, S SIDE",LAKESHORE,93634,1000487
THE PARKWAY RV RESORT,GLENN,CA,1,NC,6330 County Road 200,ORLAND,95963,1100439
DEAN CREEK RESORT,HUMBOLDT,CA,1,NC,POB 157,REDWAY,95560,1200637
ANCIENT REDWOODS RESORT,HUMBOLDT,CA,1,NC,Dean Lewis,REDCREST,95569,1206011
ELK COUNTRY RV RESORT AND CAMPGROUND,HUMBOLDT,CA,1,NC,,Trinidad,95570,1206013
RESORT IMPROVEMENT DISTRICT #1,HUMBOLDT,CA,1,C,9126 SHELTER COVE ROAD,WHITETHORN,95589,1210022
RESORT IMPRVMT. DIST. #1 - RW,HUMBOLDT,CA,1,NP,9126 Shelter Cove Road,Whitethorn,95589,1290022
PILOT KNOB RV RESORT,IMPERIAL,CA,1,NC,3707 W Highway 80,WINTERHAVEN,92283,1300559
RIO BEND RV GOLF RESORT & STORM CROSSING,IMPERIAL,CA,1,C,1589 Drew Rd,EL CENTRO,92243,1300620
SUNBEAM LAKE RV RESORT,IMPERIAL,CA,1,C,1716 W Sunbeam Lake Dr,EL CENTRO,92243,1300626
PARCHER'S RESORT,INYO,CA,1,NC,"5001 South Lake Rd, Bishop, Ca  93514",Bishop,93514,1400009
ROCK CREEK LAKES RESORT,INYO,CA,1,NC,,Bishop,93514,1400015
PANAMINT SPRINGS RESORT,INYO,CA,1,NC,"PO Box 395, Ridgecrest, CA",Darwin,93522,1400044
CARDINAL VILLAGE RESORT,INYO,CA,1,NC,"321 Cardinal Road, Bishop, CA 93514",Bishop,93514,1400067
DELIGHT'S HOT SPRINGS RESORT,INYO,CA,1,NC,"P. O. Box 368, Tecopa, CA 92389",Tecopa,92389,1400088
MOUNTAIN HOUSE SCHOOL,ALAMEDA,CA,1,TC,3950 Mountain House Road,BYRON,94514,105009
DIAMOND VALLEY SCHOOL,ALPINE,CA,1,TC,43 HAWKSIDE DRIVE,MARKLEEVILLE,96120,202501
HONCUT ELEMENTARY SCHOOL,BUTTE,CA,1,TC,68 SCHOOL St,HONCUT,95966,400060
RICHVALE ELEMENTARY SCHOOL,BUTTE,CA,1,TC,CHURCH St,RICHVALE,95974,400062
MANZANITA ELEMENTARY SCHOOL,BUTTE,CA,1,TC,627 E EVANS REIMER Rd,GRIDLEY,95948,400063
CONCOW ELEMENTARY SCHOOL,BUTTE,CA,1,TC,11679 NELSON BAR Rd,OROVILLE,95965,400064
SPRING VALLEY SCHOOL,BUTTE,CA,1,TC,PENTZ RD,OROVILLE,95965,400065
FEATHER RIVER SCHOOL,BUTTE,CA,1,TC,27 COX Ln,OROVILLE,95965,400067
BERRY CREEK SCHOOL,BUTTE,CA,1,TC,286 ROCKEFELLER Rd,BERRY CREEK,95916,400068
NORD COUNTRY SCHOOL,BUTTE,CA,1,TC,5554 CALIFORNIA St,CHICO,95973,400073
FOREST RANCH CHARTER SCHOOL,BUTTE,CA,1,TC,15815 CEDAR CREEK Rd,FOREST RANCH,95942,400079
TOYON MIDDLE SCHOOL,CALAVERAS,CA,1,TC,3412 DOUBLE SPRINGS RD.,VALLEY SPRINGS,95252,500085
KNIGHTSEN ELEMENTARY SCHOOL,CONTRA COSTA,CA,1,TC,1923 DELTA RD,KNIGHTSEN,94548,706028
EXCELSIOR MIDDLE SCHOOL,CONTRA COSTA,CA,1,TC,14301 BYRON HWY,BYRON,94514,706029
CANYON SCHOOL,CONTRA COSTA,CA,1,TC,PINEHURST RD,CANYON,94516,707620
